id,user,created_at,text
1049728737946812418,I_am_gay_teache,2018-10-09 18:30:08,"RT @chartsladygaga: iTunes US 

1. A Star Is Born Soundtrack (=)
6. A Star Is Born Soundtrack (=)
https://t.co/w6Z1bzfREz"
1049728737711927297,shineworshipnp,2018-10-09 18:30:08,Playing Better For It by Riley Clemmons https://t.co/0z6Be0HfgS
1049728736462102528,MarieeCass,2018-10-09 18:30:08,MOOD! https://t.co/grnUNX8Un3
1049728736336273409,NickAlexanderH4,2018-10-09 18:30:08,Mitch McConnell has done grave damage to all three branches of government - CNN https://t.co/yt0TtjWBV9
1049728736080228353,tigervsmonkey,2018-10-09 18:30:08,RT @KNeferhetep: Now 85% of yall out here talking about Ill never get that! WILL get it as soon as a celebrity tells you to. Let them p
1049728735312785410,grabaroot,2018-10-09 18:30:08,"RT @5945USARTR:  #Drops FBI LAWYER 10-09-2018 10:14:53 
BM  #ThePain
#WWG1WGA 
https://t.co/ObF1WiXgG5
https://t.co/M5L5IDv4ax
BOOM"
1049728734406815744,ps2princess,2018-10-09 18:30:07,"RT @gapingmaws: Oh, you ""stream"" mp3s on your iPhone? Nice job buying into Apple's bullshit, I still use my Microsoft Zune. Global warming"
1049728732246740993,2joanz,2018-10-09 18:30:07,"RT @kaylamdimarco: Eve: wig wtf this apple snapped.. the flavor jumped out

Adam: oomf is literally eating from the flop forbidden tree.. a"
1049728728971075584,miketheseximexi,2018-10-09 18:30:06,With a couple shots of crown Apple https://t.co/8BQIoT42YT
1049728725921816576,AppleSupport,2018-10-09 18:30:05,@cmacmich We'd like to help get this resolved. Have you tried restarting your Apple Watch? You can see how to do th https://t.co/A9KAxCXPaK
1049728725875650560,TheNewsGlobe,2018-10-09 18:30:05,"Google unveils new Pixel phone, adds tablet in Apple challenge - https://t.co/gCwcbAJaiR"
1049728725087121409,MICSeries,2018-10-09 18:30:05,"@chizzy_tha_don - We Up (Prod. by T'Darrio)
Now available on all major digital platforms.  

itunes: https://t.co/LYT0D47yyr"
1049728724172767232,ana_mirandasmdv,2018-10-09 18:30:05,"RT @NCTsmtown_127: #NCTzen!  Thank you from the bottom of our hearts for last night!! Were so thankful for you and your support.

https:/"
1049728722230804489,ExMuslimBecause,2018-10-09 18:30:05,"RT @GinaKhanUK: Teacher banned for life after marrying 13-year-old girl - 
@KNFMHBV  https://t.co/ZUTfnDaFUw"
1049728722163720193,hunnedmph,2018-10-09 18:30:05,When the cashier at McDonalds tell me they out of apple pies AND the icecream machine broke. https://t.co/4vaQRsW63Z
1049728722117545985,nominschanclas,2018-10-09 18:30:05,RT @SMTOWNGLOBAL: #NCT127 shined the night of Los Angeles by showing off their dazzling performance of new song #Regular and more at APP
1049728720334987264,dreams711,2018-10-09 18:30:04,RT @MYAPLANET9: #TeamYou #Tuesday &gt;&gt;&gt; #TeamYou  by @myaplanet9 &amp; @_thehitlist prod. by @deliveryboy9th &gt; https://t.co/vLsN90uGp6 https://t
1049728719617740802,Rowenaaaaa,2018-10-09 18:30:04,"RT @DicksPod: My guest for this week's podcast is the brilliant @Rowenaaaaa! 

She tells me who and what she'd hate to be stuck with on a d"
1049728718262931456,VictoriaPinder,2018-10-09 18:30:04,"RT @VictoriaPinder: Scarlett doesnt want a billionaire. James refuses to mention hes one. Hes there to protect her, not fall for her. #A"
1049728602604879872,eXAKR,2018-10-09 18:29:36,@Microsoft @Windows And while you guys are at it please consider updating the Scan app to use Windows 10 UI guideli https://t.co/eamxT202ff
1049728146000367616,eXAKR,2018-10-09 18:27:47,"Okay, I know Windows' UI is inconsistent, but this is even worse than I thought. And these are just all the new UWP https://t.co/fAme7M9dUD"
1049725683080007680,Ufxs014,2018-10-09 18:18:00,@Windows where is the option update and shutdown?
1049725540154974208,Ufxs014,2018-10-09 18:17:26,"@Windows after clicking on Windows update and restarts, it restarts and then gives me the same thing update and restart!"
1049721547592744960,cjmarczak,2018-10-09 18:01:34,RT @SHESLOVESTECH: First group of 2nd graders successfully set up their windows 10 accounts! Becoming independent learners at SHES! @SHESli
1049721451278872576,Sectorfiveinc,2018-10-09 18:01:11,@callsaratoday @googlechrome @Windows @GoogleEducating Thank you Jennifer for reaching out. Have a great day!
1049721139184857088,DrewHD1903,2018-10-09 17:59:57,"@Windows Yes &amp; remember, it's, also, my job/career as an IT Pro.  I am a MS Partner and own an IT Consulting &amp; Supp https://t.co/DHmCatBTms"
1049720191930851328,informer_ms,2018-10-09 17:56:11,"RT @Windows: Thanks for the shout-out @Mashable! See what they had to say about the Your Phone app, Timeline on phone, and the rest of the"
1049718965726040065,NanoPolymath,2018-10-09 17:51:18,"@Windows @MSFTnews @mashable Windows 10 Mobile Mail App notifications on live tile are still broke, time to show 1s https://t.co/l0eZkZH32q"
1049718666558889984,YossyDesuNe,2018-10-09 17:50:07,"Am I missing something, or are the @Xbox (web-based at least) and @Windows 10 stores missing a wishlist? It's an in https://t.co/Xwg4PWNmXO"
1049718658958798849,CPACrossings,2018-10-09 17:50:05,"f you are contemplating upgrading to @Windows 10, or have already done so, our ""Windows 10 - A Primer"" webinar will https://t.co/25RuEKSbJq"
1049718579250257920,FavorofGOD365,2018-10-09 17:49:46,I will not be #deceived #robbed by #promo @wisestamp on @googlechrome @facebook @windows https://t.co/TnUwQQMKLl https://t.co/ms6qetpLRG
1049718422416834561,ChaddieBoi,2018-10-09 17:49:09,"RT @Windows: Thanks for the shout-out @Mashable! See what they had to say about the Your Phone app, Timeline on phone, and the rest of the"
1049718364900286464,Desisparrow,2018-10-09 17:48:55,Dear @Dell  and @Windows  look what the hell happend to my laptop after installing latest update.. https://t.co/lKekRQxs93
1049717543559196672,zachcoleslaw,2018-10-09 17:45:39,ok so i may be the only one who uses it but THANK YOU SO MUCH @Windows for updating sticky notes!!!!1!
1049716886404026368,yagyaansh,2018-10-09 17:43:03,"@Windows All in all, seems more complete now!"
1049716804388642817,yagyaansh,2018-10-09 17:42:43,@Windows Looks very amazing the way it has grouped collections and we can access the gallery according to a timelin https://t.co/Idx9kYxNLL
1049715345899102208,FederalRecall,2018-10-09 17:36:55,I love video gaming and always had done video gaming since the old Amiga days in my younger years it'll be good whe https://t.co/8n0O9Ms6Tt
1049715024787382274,bscar23625,2018-10-09 17:35:39,"@BarryTuckwood @Windows @MicrosoftHelps On the positive side, I think I have processed this update on both my lapto https://t.co/ffvRIbpSkR"
1049714786383085568,FederalRecall,2018-10-09 17:34:42,I would love it when all of my Linux-compatible games on steam get fully installed and backed up then there won't b https://t.co/JwrxkDZ7ou
1049714567587274753,RaccasGaming,2018-10-09 17:33:50,"@Windows Yup Im all good, just needed to reset the PC to clear an error back up to full speed now"
1049714105630806016,MSFTnews,2018-10-09 17:32:00,"RT @Windows: Thanks for the shout-out @Mashable! See what they had to say about the Your Phone app, Timeline on phone, and the rest of the"
1049711047953829888,alainlewis,2018-10-09 17:19:51,Why does @microsoft persist with this nonsense of continually updating and tying up your machine? Still after all t https://t.co/I9QeNL2sGp
1049709781622161408,ImNickHuber,2018-10-09 17:14:49,"RT @lucasoft_co_uk: RT @ixtechlabs Rancher 2.1 is available with some nice features like @keycloak auth, node draining, @Rancher_Labs @gitl"
1049708626917646336,lucasoft_co_uk,2018-10-09 17:10:13,"RT @ixtechlabs Rancher 2.1 is available with some nice features like @keycloak auth, node draining, @Rancher_Labs https://t.co/cbakTgqgu4"
1049708438928990210,_HimadriNath,2018-10-09 17:09:29,@windows some time getting this after start or restart in October update (1809) #windows #windows10octoberupdate https://t.co/x07JKTn7Xw
1049707441326317569,keyperspective,2018-10-09 17:05:31,RT @Windows: @keyperspective Right on! Have you heard of Surface All Access? https://t.co/GjM0HJVAvl
1049707131333697537,keyperspective,2018-10-09 17:04:17,"@Windows i havent, i will check it out! thanks"
1049706697005117442,ibuildinternet,2018-10-09 17:02:33,@firefox uncovered security flaw in @Windows https://t.co/7XEVxiwfZY
1049705948770684928,MartijnSaly,2018-10-09 16:59:35,@Microsoft @Windows Country flags emoji please? They've been missing since the introduction of Win10; now it's getting embarrassing...
1049705757959184384,fadedowntoblack,2018-10-09 16:58:49,"Literally bought my laptop 3 days ago and decided to update and now my laptop keeps crashing ,and has wiped my file https://t.co/YSKBJMHzns"
1049705477905571845,adam_technstuff,2018-10-09 16:57:43,@Windows Let me know
1049704835027623936,Adi735,2018-10-09 16:55:09,@Windows While using the Pc. It occurs random 1-2 times daily.
1049704514939445248,ItsNightSaw,2018-10-09 16:53:53,@cris_midnight @Windows Happens with my pc as well and I don't even have 10. Put it to sleep when I'm about to slee https://t.co/x6nQMxE2pa
1049703927153868800,jonwarreninfo,2018-10-09 16:51:33,"If it wasn't me, directly or indirectly, and the config was changed, then, however unlikely, it was some other soft https://t.co/spmoqlZgZT"
1049703621640822787,mohd_bh,2018-10-09 16:50:20,@Windows @mashable I just lost 220GB of my videos and photos thanks to your update...
1049703493479686144,one_solo,2018-10-09 16:49:50,@Windows for me pretty fine...
1049702537102811136,Optimised_IT,2018-10-09 16:46:02,"RT @Computerworld: @Windows 10: A guide to the #updates.
https://t.co/K54odS0mAR https://t.co/JBLFgBDhp8"
